Stance,Q1_B1,Q1_B2,Q1_B3,Q9,Age,Gender,PostalCode
Strongly Opposed,Public Health Concerns,"Casinos nearby already (Woodbine, Niagara)",,F,25-34,Male,M6H
Somewhat Opposed,I live in Downtown and do not want a casino Downtown,A casino will add to congestion downtown,A casino will not contribute to downtown cultural or commercial ife but will damage it,T,,,
Strongly Opposed,against gambling in general,,,T,55-64,Male,M1N
Strongly Opposed,There are several casinos in the regions near Toronto,"The city has far too many citizens in and/or on the brink of poverty who can't afford to gamble what small income they have in the hopes of a ""big win""",Taxes in Toronto should be raised to meet the needs of our expenditures. With Council refusing to do so they are putting the citizens at extreme risk and demonstrating a lack of respectability this city had 40 years ago,T,45-54,Female,M2K
Strongly in Favour,provide more jobs,increase revenue for the city,increase turism,F,,,
Strongly Opposed,We have hundreds of thousands of people living downtown.,Casinos add very little to local economies.,Waterfronts and downtowns are not good locations for casinos.,T,45-54,Female,M6C
Strongly Opposed,Impact on the Waterfront if that is where those short-sighted people place it,Negative economic impact on the businesses and employment around the casino,Social consequences,T,Prefer not to disclose,Male,
Strongly Opposed,attracting the wrong people to our city,my brother in law lost his home from betting,not a healthy sport,F,,,
Strongly Opposed,Traffic,Kills local businesses,Possibility of adding to the gambling problem. No good trying to help after they have lost there money.,T,45-54,Male,m6a
Somewhat Opposed,"Brings in more debt, crime, mental health issues","I cant get my head around what the olg , liberals have started. there  was no plan, you have bingo halls now having slot machines put in. There should be an inquiry put in by the police regarding this issue *",anything with the olg just really stinks right now,F,45-54,,k9v
Strongly in Favour,Believe it would be an economic boost to the city,Most Old arguments against gambling no longer valid,"City is cash strapped and licensing and tax revenues could be used towards infrastructure improvements that are needed like roads, transit etc",F,55-64,Male,M4W
Somewhat in Favour,"Great for the city economy, jobs, growth, tourism",,,F,35-44,Male,L4C
Strongly in Favour,personal freedom,revenue generation for gov't,entertainment,F,45-54,Male,m9w
Strongly in Favour,Draw more international visitors to Toronto through increased number of City Wide Conventions,"Casino will bring extra revenue to the City Budget which can be used to invest in public amenities, such as transit",Casino development provides an alternative entertainment option for the City and is better for the consumer as it brings competition to certain markets (i.e. theatre),F,25-34,Female,m8y
Strongly Opposed,Gaming attracts the wrong sort of tourists,Gaming will adveresely affect the poor of Toronto,,T,45-54,Male,m1c
Strongly Opposed,Tax on the poor,,,T,65 or older,Male,M5M
Somewhat in Favour,,,,F,25-34,Female,m6s
Strongly Opposed,Economic data has shown casinos do more harm than good to a city's economy,Negative social effects of a casino,,T,55-64,Male,M4L
Neutral or Mixed Feelings,addiction issues for some people,parking...need a large area,congestion on the hiways,F,45-54,Female,m1e
Strongly Opposed,This image does not match my vision of Toronto past present or future.,Attracts the wrong type of tourist.,,T,35-44,Female,M4T
Strongly Opposed,adds to traffic congestion,not needed as there are ones nearby,contributes to addiction,T,45-54,Female,m9c
Strongly in Favour,World class cities deserve world class entertainment.,Use most or all of the monies from a casino to build subways and rebuild roadways such as the gardiner,,F,55-64,Male,M8Z
Somewhat in Favour,be great for Woodbine Racetrack,"help the industry and save 55 thousand related jobs, provided WB gets a  percentage","WB best place, not residential, already set up, lots of parking etc.. will not make for gridlock",F,,,
Strongly Opposed,Casinos create and facilitate gambling addictions,It is a myth that a casino will bring revenue to the city,I believe that the addition of a casnion to Torono's waterfront will spoil it,T,35-44,Female,M6H
Strongly Opposed,"Concerns about gambling addition, especially in vulnerable populations",Traffic congestion - the Gardiner and DVP are already a disaster,Closure of smaller businesses in the City - people will use their disposable income to gamble instead of using the products and services of local businesses,T,35-44,Female,M5V
Strongly in Favour,Tourist attraction,Create thousands of jobs,,F,Prefer not to disclose,Female,L4J
Strongly Opposed,hosting fee is too low,fuels addiction problems,harms local entertainment businesses,T,45-54,Female,M4J
Strongly Opposed,Inappropriate to downtown core of a city like Toronto.,Skeptical about financial benefits,,T,35-44,Male,M6C
Strongly Opposed,A casino is not suitable for financial and residential areas around,Traffic will be deteriorated even further in the already congested area,Crime rate will increase,T,25-34,Female,m5v
Strongly Opposed,"Gambling is not an economically useful tool, due to harm to people losing money","Downtown Toronto IS a residential area, unlike what that idiot thinks.",Parking is going to be an enormous problem -- already is.,T,65 or older,Female,3K7
Strongly Opposed,I'm a psychotherapist and people loose a lot of money as an addiction when they are dealing with strong emotions.,traffic on the Gardiner can not take any more cars. I live in High Park.,,T,45-54,Female,M6R
Strongly Opposed,Traffic congestion and linadequate transit are already a huge problem. Casino makes this even worse.,Residual benefits are minimal and not worth it.,Social cost re gambling is WAY TOO HIGH.,F,55-64,Female,M4E
Strongly in Favour,More Money for the city without raising taxes again.,Get us out of the debt that the current and previous counsels have put us in.,,T,45-54,Male,M5R
Strongly Opposed,High residential component that council has approved in the downtown area incompatible with a casino and related functions.,"Negative externaties created by a casino - social issues, low value jobs, etc.",Existing congestion,F,55-64,Male,M5V
Strongly Opposed,no cultural value whatever,attracts the poor and desperate and encourages addiction,ethically abhorrent,T,65 or older,Female,m5j
Strongly Opposed,All downtown Toronto sites are unsuitable for the traffic congestion and behavioural fallout of a casino,"Casinos in general prey upon the poorer and less advantaged, purely for the profit of the casino owners",The growth of online gambling has and will continue to undermine physical casinos and the cities that depend on them,F,45-54,Male,M4X
Strongly in Favour,Most world class cities have them,we need transit monies to bring us back to that status,Monies are leaving this city on a large scale for other casinos,F,65 or older,Female,M2J
Strongly Opposed,A casino will create a class of people in Toronto addicted to gambling.,The city will corrupt itself by depending on gambling for revenue.,The city should be encouraging cultural activity of a much different nature.,T,,,
Strongly Opposed,not in favour of the type of people that a casino will attract.,,,T,25-34,Female,m4m
Strongly Opposed,cost to individuals re problem gambling,cost to neighbourhoods-casinos look inward and are not part of a healthy community,loss of valuable green space and cost of transportation funds diverted from better use,F,Prefer not to disclose,Female,m5m
Strongly in Favour,Will generate revenue for the city,Will create after-hours entertainment for locals and tourists alike,Will create another tourist attraction (which there are not many of currently) in the city,F,25-34,Female,m8z
Strongly Opposed,,,,T,Prefer not to disclose,Prefer not to disclose,
Strongly Opposed,A casino is a business based on profit.,"Many members of the public gamble beyond their means, often those who can least afford to lose.",,T,65 or older,Female,M5R
Strongly Opposed,The Medical Officer of Health has said that a casino will have a significant negative impact on our city's public health.,I do not believe that we should use gambling as a way to generate public funds.  It just seems wrong to me.,,T,,,
